,Intensidad,Magnitud,GAP
898,3.8,5.3,49.0
899,3.8,5.3,101.0
900,3.8,5.3,22.0
901,3.8,5.8,30.0
902,3.8,4.6,124.0
903,3.8,4.6,93.9
904,3.8,5.1,96.0
905,3.8,5.6,67.8
906,3.8,4.4,137.0
907,3.8,4.4,111.9
908,3.8,4.9,72.0
909,3.8,4.9,116.0
910,3.8,4.9,117.0
911,3.8,5.4,54.1
912,3.8,4.2,130.0
913,3.8,4.7,108.0
914,3.8,4.7,82.0
915,3.8,4.7,112.3
916,3.8,4.7,93.5
917,3.8,4.7,113.1
918,3.8,5.2,111.0
919,3.8,5.2,53.0
920,3.8,5.2,70.0
921,3.8,5.2,91.7
922,3.8,5.7,18.0
923,3.8,4.9,113.0
924,4.1,5.0,81.0
925,4.1,5.0,78.0
926,4.1,4.3,168.0
927,4.1,4.3,112.0
928,4.1,4.3,159.0
929,4.1,4.8,114.0
930,4.1,4.8,82.9
931,4.1,4.8,75.9
932,4.1,5.3,93.0
933,4.1,5.3,17.0
934,4.1,5.8,15.0
935,4.1,5.8,15.4
936,4.1,4.6,117.0
937,4.1,4.6,118.3
938,4.1,6.1,22.6
939,4.1,4.9,113.0
940,4.1,4.9,67.0
941,4.1,4.9,109.0
942,4.1,4.9,135.0
943,4.1,4.9,112.7
944,4.1,4.7,118.0
945,4.1,4.7,79.0
946,4.1,4.7,102.4
947,4.1,4.7,98.6
948,4.1,4.7,111.4
949,4.1,4.7,57.4
950,4.1,5.2,32.0
951,4.1,4.8,126.0
952,4.6,4.5,116.0
953,4.6,5.5,42.0
954,4.6,5.5,17.4
955,4.6,4.8,39.0
956,4.6,5.3,46.2
957,4.6,5.3,41.2
958,4.6,5.6,42.2
959,4.6,5.4,82.0
960,4.6,6.2,25.6
961,5.6,5.9,33.0
962,5.6,5.9,37.0
963,5.6,6.1,51.0
964,5.6,5.2,32.0
965,2.2,4.0,173.0
966,2.2,4.5,124.0
967,2.2,4.5,126.0
968,2.2,4.5,120.0
